name,climate_impact,additional_impacts,type,sector
Forest restoration after climate-related disasters,drought,"Flooding, Storm, Wildfire",structural,biodiversity
Early warning systems for vector-borne diseases,heat,Flooding,organisational,health
Sustainable infrastructure for livestock health,drought,"Extreme heat, Water scarcity",structural,agriculture
Multifaceted approaches to protecting Tangible Cultural Heritage,heat,"Extreme cold, Flooding, Ice and snow, Sea level rise, Storm",structural,tourism
Private-public partnerships (PPPs) for adapting and maintaining infrastructure and services,non_specific,,structural,non_specific
Multi-level and cross-sectoral governance,non_specific,,organisational,non_specific
Precision Agriculture,drought,"Extreme heat, Water scarcity",organisational,agriculture
Prevention of climate-related damages to forests,drought,"Extreme heat, Storm, Wildfire",structural,biodiversity
Diversification of tourism,non_specific,,structural,tourism
Climate resilient forest management,drought,"Extreme heat, Flooding, Storm, Wildfire",structural,biodiversity
Urban green and blue  infrastructure,heat,"Flooding, Water scarcity",structural,biodiversity
Climate-Resilient Railway Infrastructure operations and construction,non_specific,,structural,disaster_risk
Water reuse,drought,Water scarcity,structural,agriculture
Crises and disaster management systems and plans,non_specific,,organisational,disaster_risk
Afforestation and reforestation,drought,"Extreme heat, Flooding",structural,agriculture
Weather derivatives as risk management tool,heat,"Extreme cold, Ice and snow, Storm",organisational,agriculture
Remote sensing,non_specific,,organisational,non_specific
Capacity building,non_specific,,structural,non_specific
Adapted crops and varieties,drought,"Extreme heat, Extreme cold, Water scarcity",structural,agriculture
Conservation agriculture,drought,Water scarcity,structural,agriculture
Insurance as risk management tool,non_specific,,organisational,agriculture
Enhancing Ecological Networks,non_specific,,organisational,agriculture
Heat health action plans,heat,,organisational,disaster_risk
Climate resilient hydropower systems,drought,"Flooding, Water scarcity",structural,energy
"Climate resilient electricity transmission, distribution networks and services",heat,"Extreme cold, Ice and snow, Storm",structural,energy
Reducing water consumption for cooling of thermal generation plants,drought,"Extreme heat, Water scarcity",structural,energy
Climate resilient airports,non_specific,,structural,disaster_risk
Standards for Climate-proof Roads,heat,"Extreme cold, Flooding, Ice and snow, Storm",structural,disaster_risk
Fisheries and aquaculture diversification,heat,"Sea level rise, Storm",organisational,tourism
Early warning systems,drought,"Extreme heat, Extreme cold, Flooding, Ice and snow, Storm, Water scarcity, Wildfire",organisational,agriculture
Riparian buffers,drought,"Extreme heat, Flooding",structural,agriculture
Economic incentives for behavioural change,non_specific,,organisational,agriculture
Restoring coastal dunes,flooding,"Sea level rise, Storm",structural,biodiversity
Desalinisation,drought,Water scarcity,structural,water
Adaptive management of natural resources,non_specific,,organisational,biodiversity
Adaptation of groundwater management,drought,"Sea level rise, Water scarcity",structural,agriculture
Flood Risk Management Plans,flooding,,organisational,disaster_risk
Fire management plans,drought,"Extreme heat, Wildfire",organisational,agriculture
Drought and water conservation plans,drought,Water scarcity,organisational,agriculture
Water sensitive urban and building design,drought,"Flooding, Storm, Water scarcity",structural,disaster_risk
Using water to cope with heat waves in cities,heat,,structural,disaster_risk
Floating or elevated roads,flooding,"Sea level rise, Storm",structural,disaster_risk
"Groynes, breakwaters and artificial reefs",flooding,Storm,structural,disaster_risk
Improved design of dikes and levees,flooding,Sea level rise,structural,disaster_risk
Resilient Land use planning,non_specific,,organisational,agriculture
Retreat from high-risk areas,flooding,"Sea level rise, Storm",organisational,disaster_risk
Storm surge gates and flood barriers,flooding,"Sea level rise, Storm",organisational,disaster_risk
Seawalls and jetties,flooding,"Sea level rise, Storm",structural,disaster_risk
Water restrictions and water rationing,drought,Water scarcity,organisational,agriculture
Coastal zone management plans,flooding,"Sea level rise, Storm",organisational,disaster_risk
Improvement of irrigation efficiency,drought,Water scarcity,organisational,agriculture
Raising and advancing coastal land,flooding,"Sea level rise, Storm",structural,disaster_risk
Coastal wetland restoration,drought,"Flooding, Sea level rise, Storm",structural,biodiversity
Water sensitive forest management,drought,"Flooding, Water scarcity",structural,biodiversity
Restoration of rivers and floodplains,drought,"Flooding, Sea level rise, Storm",structural,agriculture
Climate smart urban agriculture,heat,"Flooding, Water scarcity",structural,agriculture
Retaining water in rural areas,drought,"Flooding, Water scarcity",structural,agriculture
Beach and shoreface nourishment,flooding,"Sea level rise, Storm",structural,disaster_risk
Awareness raising campaigns,non_specific,,structural,non_specific
Agroforestry,drought,"Extreme heat, Flooding",structural,agriculture
Floating and amphibious housing,flooding,Sea level rise,structural,disaster_risk
Cliff strengthening and stabilisation,flooding,"Sea level rise, Storm",structural,disaster_risk
